thickness,wavelength,fom
29.84,1099.26,696.514411
29.76,1099.27,667.8606324
29.77,1099.27,766.1604657
29.78,1099.27,926.2534883999999
29.79,1099.27,1254.712172
29.8,1099.27,2601.682592
29.81,1099.27,1462.1026140000001
29.82,1099.27,1005.195547
29.83,1099.27,811.5340196000001
29.84,1099.27,696.5134499
29.76,1099.28,670.12944
29.77,1099.28,769.1920529
29.78,1099.28,936.0538210000001
29.79,1099.28,1281.9867550000001
29.8,1099.28,3402.1956189999996
29.81,1099.28,1450.1161650000001
29.82,1099.28,993.8998437000001
29.83,1099.28,807.8272702
29.84,1099.28,693.7810672999999
29.76,1099.29,672.6765326000001
29.77,1099.29,775.938281
29.78,1099.29,941.0315322999999
29.79,1099.29,1300.837706
29.8,1099.29,4212.2363829999995
29.81,1099.29,1450.114164
29.82,1099.29,993.8984723
29.83,1099.29,804.1542185
29.84,1099.29,693.7801101
29.76,1099.3,675.2430686
29.77,1099.3,775.9372103999999
29.78,1099.3,946.0624811
29.79,1099.3,1310.471733
29.8,1099.3,3337.994037
29.81,1099.3,1415.3094720000001
29.82,1099.3,982.8537997999999
29.83,1099.3,800.5144071000001
29.84,1099.3,691.069078
29.76,1099.31,677.8292715
29.77,1099.31,779.3543607
29.78,1099.31,946.0611758
29.79,1099.31,1310.469925
29.8,1099.31,2601.668233
29.81,1099.31,1371.422015
29.82,1099.31,977.0430329
29.83,1099.31,796.5981484
29.84,1099.31,690.7999568
29.76,1099.32,677.8283364
29.77,1099.32,779.3532853999999
29.78,1099.32,946.0598705
29.79,1099.32,1310.468117
29.8,1099.32,2357.927266
29.81,1099.32,1370.887945
29.82,1099.32,972.0505263
29.83,1099.32,796.9062872999999
29.84,1099.32,685.7100612
29.76,1099.33,678.0904307999999
29.77,1099.33,782.8006713
29.78,1099.33,956.2862254
29.79,1099.33,1330.1725689999998
29.8,1099.33,3050.223305
29.81,1099.33,1371.41823
29.82,1099.33,972.0491852
29.83,1099.33,789.789963
29.84,1099.33,685.7091151000001
29.76,1099.34,680.4334909
29.77,1099.34,786.2787006
29.78,1099.34,961.4821067
29.79,1099.34,1360.866982
29.8,1099.34,4914.241879
29.81,1099.34,1360.866982
29.82,1099.34,966.7361072999998
29.83,1099.34,789.7888734
29.84,1099.34,683.0606472000001
29.76,1099.35,685.7072231000001
29.77,1099.35,789.7877837999999
29.78,1099.35,972.0465031
29.79,1099.35,1382.1286220000002
29.8,1099.35,5897.082119
29.81,1099.35,1350.4768210000002
29.82,1099.35,961.4807802000001
29.83,1099.35,786.2776158
29.84,1099.35,683.0597048999999
29.76,1099.36,685.7062771000001
29.77,1099.36,793.3283385999999
29.78,1099.36,977.4155774000001
29.79,1099.36,1393.0096019999999
29.8,1099.36,3216.585809
29.81,1099.36,1320.240444
29.82,1099.36,956.2822676000001
29.83,1099.36,782.7974313999999
29.84,1099.36,680.4316135
29.76,1099.37,688.3734453
29.77,1099.37,793.3272442000001
29.78,1099.37,977.4142289999999
29.79,1099.37,1393.007681
29.8,1099.37,2491.717964
29.81,1099.37,1291.3282880000002
29.82,1099.37,945.6862304
29.83,1099.37,779.045485
29.84,1099.37,680.1666349999999
29.76,1099.38,688.3724957000001
29.77,1099.38,796.899691
29.78,1099.38,977.4128806
29.79,1099.38,1381.586571
29.8,1099.38,2456.153905
